run,train-accuracy,test-accuracy
0,0.9908028834203331,0.9907246376811594
1,0.9925428784489188,0.991304347826087
2,0.9863286104896843,0.9866666666666667
3,0.990057171265225,0.9907246376811594
4,0.9922943077305494,0.9901449275362318
5,0.9873228933631618,0.9872463768115942
6,0.9895600298284862,0.9889855072463768
7,0.9925428784489188,0.9936231884057971
8,0.9915485955754412,0.9907246376811594
9,0.9888143176733781,0.983768115942029
10,0.99204573701218,0.991304347826087
11,0.9910514541387024,0.9918840579710145
12,0.9880686055182699,0.984927536231884
13,0.9917971662938105,0.9889855072463768
14,0.9890628883917475,0.9866666666666667
15,0.9913000248570718,0.9924637681159421
16,0.9883171762366393,0.9884057971014493
17,0.9917971662938105,0.9936231884057971
18,0.9915485955754412,0.9924637681159421
19,0.9910514541387024,0.9924637681159421
20,0.9922943077305494,0.9907246376811594
21,0.990057171265225,0.9918840579710145
22,0.9888143176733781,0.9889855072463768
23,0.9913000248570718,0.9872463768115942
24,0.9888143176733781,0.9878260869565217
25,0.9910514541387024,0.9918840579710145
26,0.9913000248570718,0.9907246376811594
27,0.9895600298284862,0.9895652173913043
28,0.9903057419835943,0.9889855072463768
29,0.9913000248570718,0.9895652173913043
30,0.9913000248570718,0.9889855072463768
31,0.9875714640815312,0.9895652173913043
32,0.9893114591101169,0.9901449275362318
33,0.990057171265225,0.9901449275362318
34,0.9930400198856575,0.9924637681159421
35,0.9883171762366393,0.9907246376811594
36,0.9898086005468556,0.9884057971014493
37,0.9910514541387024,0.9918840579710145
38,0.9917971662938105,0.9878260869565217
39,0.9910514541387024,0.9907246376811594
40,0.9890628883917475,0.9889855072463768
41,0.9840914740243599,0.9820289855072464
42,0.9865771812080537,0.9872463768115942
43,0.9930400198856575,0.9930434782608696
44,0.9930400198856575,0.991304347826087
45,0.9908028834203331,0.9907246376811594
46,0.9915485955754412,0.9895652173913043
47,0.9910514541387024,0.9924637681159421
48,0.9895600298284862,0.9895652173913043
49,0.9917971662938105,0.9907246376811594
50,0.9895600298284862,0.9872463768115942
51,0.9930400198856575,0.9936231884057971
52,0.9932885906040269,0.991304347826087
53,0.990057171265225,0.9895652173913043
54,0.9873228933631618,0.9907246376811594
55,0.99204573701218,0.9907246376811594
56,0.9910514541387024,0.9942028985507246
57,0.9903057419835943,0.9918840579710145
58,0.9925428784489188,0.9901449275362318
59,0.9917971662938105,0.9901449275362318
60,0.99204573701218,0.9924637681159421
61,0.9913000248570718,0.9895652173913043
62,0.9878200347999005,0.984927536231884
63,0.9893114591101169,0.9901449275362318
64,0.990057171265225,0.9884057971014493
65,0.9883171762366393,0.9884057971014493
66,0.9875714640815312,0.9889855072463768
67,0.9910514541387024,0.9889855072463768
68,0.9898086005468556,0.9918840579710145
69,0.99204573701218,0.991304347826087
70,0.9915485955754412,0.9930434782608696
71,0.9905543127019637,0.9895652173913043
72,0.9922943077305494,0.9936231884057971
73,0.9903057419835943,0.9901449275362318
74,0.990057171265225,0.9884057971014493
75,0.9908028834203331,0.9918840579710145
76,0.9895600298284862,0.9907246376811594
77,0.99204573701218,0.9918840579710145
78,0.9895600298284862,0.9878260869565217
79,0.9898086005468556,0.9895652173913043
80,0.9875714640815312,0.9895652173913043
81,0.9917971662938105,0.9907246376811594
82,0.9910514541387024,0.9918840579710145
83,0.99204573701218,0.9930434782608696
84,0.9927914491672881,0.9924637681159421
85,0.9917971662938105,0.9895652173913043
86,0.9883171762366393,0.9860869565217392
87,0.9922943077305494,0.9895652173913043
88,0.9925428784489188,0.9924637681159421
89,0.9927914491672881,0.9942028985507246
90,0.9915485955754412,0.9924637681159421
91,0.9930400198856575,0.9924637681159421
92,0.9908028834203331,0.9901449275362318
93,0.9910514541387024,0.9872463768115942
94,0.9910514541387024,0.9889855072463768
95,0.9873228933631618,0.9889855072463768
96,0.9922943077305494,0.9924637681159421
97,0.9917971662938105,0.9918840579710145
98,0.9895600298284862,0.9878260869565217
99,0.9888143176733781,0.9878260869565217
