size,purity,train-accuracy,test-accuracy
10,60,0.5226873021456209,0.5069729286300246
10,65,0.5226873021456209,0.5069729286300246
10,70,0.5226873021456209,0.5069729286300246
10,75,0.9139992965177629,0.9134536505332239
10,80,0.9139992965177629,0.9134536505332239
10,85,0.9139992965177629,0.9134536505332239
10,90,0.9419627154414351,0.9532403609515997
10,95,0.9548012662680267,0.9626743232157506
20,60,0.5226873021456209,0.5069729286300246
20,65,0.5226873021456209,0.5069729286300246
20,70,0.5226873021456209,0.5069729286300246
20,75,0.9139992965177629,0.9134536505332239
20,80,0.9139992965177629,0.9134536505332239
20,85,0.9139992965177629,0.9134536505332239
20,90,0.9419627154414351,0.9532403609515997
20,95,0.9548012662680267,0.9626743232157506
30,60,0.5226873021456209,0.5069729286300246
30,65,0.5226873021456209,0.5069729286300246
30,70,0.5226873021456209,0.5069729286300246
30,75,0.9139992965177629,0.9134536505332239
30,80,0.9139992965177629,0.9134536505332239
30,85,0.9139992965177629,0.9134536505332239
30,90,0.9419627154414351,0.9532403609515997
30,95,0.9548012662680267,0.9626743232157506
40,60,0.5226873021456209,0.5069729286300246
40,65,0.5226873021456209,0.5069729286300246
40,70,0.5226873021456209,0.5069729286300246
40,75,0.9139992965177629,0.9134536505332239
40,80,0.9139992965177629,0.9134536505332239
40,85,0.9139992965177629,0.9134536505332239
40,90,0.9419627154414351,0.9532403609515997
40,95,0.9548012662680267,0.9626743232157506
50,60,0.5226873021456209,0.5069729286300246
50,65,0.5226873021456209,0.5069729286300246
50,70,0.5226873021456209,0.5069729286300246
50,75,0.9139992965177629,0.9134536505332239
50,80,0.9139992965177629,0.9134536505332239
50,85,0.9139992965177629,0.9134536505332239
50,90,0.9419627154414351,0.9532403609515997
50,95,0.9548012662680267,0.9626743232157506
60,60,0.5226873021456209,0.5069729286300246
60,65,0.5226873021456209,0.5069729286300246
60,70,0.5226873021456209,0.5069729286300246
60,75,0.9139992965177629,0.9134536505332239
60,80,0.9139992965177629,0.9134536505332239
60,85,0.9139992965177629,0.9134536505332239
60,90,0.9419627154414351,0.9532403609515997
60,95,0.9548012662680267,0.9626743232157506
70,60,0.5226873021456209,0.5069729286300246
70,65,0.5226873021456209,0.5069729286300246
70,70,0.5226873021456209,0.5069729286300246
70,75,0.9139992965177629,0.9134536505332239
70,80,0.9139992965177629,0.9134536505332239
70,85,0.9139992965177629,0.9134536505332239
70,90,0.9419627154414351,0.9532403609515997
70,95,0.9548012662680267,0.9626743232157506
80,60,0.5226873021456209,0.5069729286300246
80,65,0.5226873021456209,0.5069729286300246
80,70,0.5226873021456209,0.5069729286300246
80,75,0.9139992965177629,0.9134536505332239
80,80,0.9139992965177629,0.9134536505332239
80,85,0.9139992965177629,0.9134536505332239
80,90,0.9419627154414351,0.9532403609515997
80,95,0.9419627154414351,0.9532403609515997
90,60,0.5226873021456209,0.5069729286300246
90,65,0.5226873021456209,0.5069729286300246
90,70,0.5226873021456209,0.5069729286300246
90,75,0.9139992965177629,0.9134536505332239
90,80,0.9139992965177629,0.9134536505332239
90,85,0.9139992965177629,0.9134536505332239
90,90,0.9419627154414351,0.9532403609515997
90,95,0.9419627154414351,0.9532403609515997
100,60,0.5226873021456209,0.5069729286300246
100,65,0.5226873021456209,0.5069729286300246
100,70,0.5226873021456209,0.5069729286300246
100,75,0.9139992965177629,0.9134536505332239
100,80,0.9139992965177629,0.9134536505332239
100,85,0.9139992965177629,0.9134536505332239
100,90,0.9419627154414351,0.9532403609515997
100,95,0.9419627154414351,0.9532403609515997
